proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
1 family dwelling,,2021-07-02T00:00:00.000,,,202107023746,re-roofing: remove and replace roofing material / existing roofing material (in-kind),9500,Connecticut,10,St,003,2021-07-02T00:00:00.000,0,4099,,,Potrero Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94107,1620188170523,,9500,510,1 family dwelling,,"{coordinates:[-122.39751411691432,37.759471614063514],type:Point}",issued,
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023703,reroofing,24000,Guerrero,8,St,057,2021-07-02T00:00:00.000,0,6594,2,2,Noe Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620141437863,wood frame (5),24000,1512,2 family dwelling,2,"{coordinates:[-122.42270056407872,37.74688545573436],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023679,reroofing,12000,Page,5,St,052,2021-07-02T00:00:00.000,0,1233,2,2,Haight Ashbury,otc alterations permit,8,2021-07-02T00:00:00.000,94117,162011293263,wood frame (5),12000,1435,2 family dwelling,2,"{coordinates:[-122.44434357777702,37.77100733532177],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023679,reroofing,12000,Page,5,St,051,2021-07-02T00:00:00.000,0,1233,2,2,Haight Ashbury,otc alterations permit,8,2021-07-02T00:00:00.000,94117,162011193262,wood frame (5),12000,1433,2 family dwelling,2,"{coordinates:[-122.44434357777702,37.77100733532177],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023736,"kitchen remodeling. no structural change. no layout change. replace new cabinets, new fixtures, new floor, new appliances, and new lights.",20000,Douglass,8,St,237,2021-07-02T00:00:00.000,0,2623,2,2,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620178510362,wood frame (5),20000,59,2 family dwelling,2,"{coordinates:[-122.43918500333598,37.762806371469715],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023732,"renovate 2-story home. add (n) 3rd flr w/ (n) kitchen & bathrm. exterior finish replacement, re-grading (e) sidewalk at entry, rebuild (e) low rear yard. retaining wall, (n) rear yard flat-work, install solar roof system. structural work - full seismic upgrade for vert addition. mep w/ (n) sprinkler",,Jerrold,10,Av,003A,2021-07-02T00:00:00.000,2,5273,2,3,Bayview Hunters Point,additions alterations or repairs,3,2021-07-02T00:00:00.000,94124,1620172178301,wood frame (5),761596,1504,1 family dwelling,1,"{coordinates:[-122.3875461958367,37.73803837062548],type:Point}",filed,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,5,5,202107023738,revision to pa# 20180129554.  revised concrete retaining walls.,0,Waller,5,St,007,2021-07-02T00:00:00.000,2,1240,3,3,Haight Ashbury,otc alterations permit,8,2021-07-02T00:00:00.000,94117,1620180487054,wood frame (5),15000,820,apartments,4,"{coordinates:[-122.4371944047428,37.7704476136078],type:Point}",filed,wood frame (5)
apartments,3,2021-07-02T00:00:00.000,40,3,202107023705,unit 206 - rehabilitate existing bathroom and kitchen; install washer & dryer,0,Gough,2,St,004,2021-07-02T00:00:00.000,2,0640,6,6,Pacific Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94109,1620142410010,constr type 3,35000,1801,apartments,40,"{coordinates:[-122.4259198286083,37.7902090493773],type:Point}",filed,constr type 3
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023681,"replaceaiang in kind (4) street facing windows (e) wood (n) aluminum clad, (1) non-street facing (e) aluminum (n) wood composit, (3) non-street facing (e) wood composit",24240,40th,4,Av,022A,2021-07-02T00:00:00.000,0,1711,2,2,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94122,1620114111144,wood frame (5),24240,1258,1 family dwelling,1,"{coordinates:[-122.49935281578234,37.76334482453787],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023666,reroofing - flat roof with slope less that 2:12 pitch,9800,Leavenworth,3,St,001,2021-07-02T00:00:00.000,0,0184,2,2,Russian Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94109,1620097295533,wood frame (5),9800,1567,1 family dwelling,1,"{coordinates:[-122.41685311399074,37.795546655755416],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023709,expansion of existing backyard decks from 4' x 5' to 12' x 17'. install two level spiral staircase.,,Guerrero,8,St,031J,2021-07-02T00:00:00.000,2,3555,2,2,Mission,additions alterations or repairs,3,2021-07-02T00:00:00.000,94103,1620146158155,wood frame (5),25000,351,2 family dwelling,2,"{coordinates:[-122.42385125059596,37.765643028654246],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023673,"revision to  app# 202012090642. revision  to rear windows, rear railing, crawl space existing plan and bathroom and laundry",0,Teresita,7,Bl,004,2021-07-02T00:00:00.000,2,3000B,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94127,1620105149516,wood frame (5),1,615,1 family dwelling,1,"{coordinates:[-122.44572921604922,37.73725299139854],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023727,"remodel 1 bathroom like for like. rub replacement, toilet, vanity shower, plumbing fixtures,sink 3 gfci, 3 light sconces.",18000,Mangels,8,Av,034,2021-07-02T00:00:00.000,0,6761,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94131,1620167212386,wood frame (5),18000,84,1 family dwelling,1,"{coordinates:[-122.43951318673143,37.733276587432165],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023698,reconfigure (e) bedroom access @ 1st floor,78350,Borica,7,St,005,2021-07-02T00:00:00.000,2,6927,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94127,1620133214311,wood frame (5),78350,65,1 family dwelling,1,"{coordinates:[-122.46846262879627,37.72288988453076],type:Point}",filed,wood frame (5)
retail sales,5,2021-07-02T00:00:00.000,0,5,202107023697,permit to comply for violation #202178539. permit to replace of the replacement of  reach coolers. does not impede egress nor accessibility.,7200,San Bruno,9,Av,032,2021-07-02T00:00:00.000,0,5449,1,1,Portola,otc alterations permit,8,2021-07-02T00:00:00.000,94134,1620132371432,wood frame (5),2500,2695,retail sales,0,"{coordinates:[-122.40339437232953,37.72788303425644],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023665,reroofing,12800,Goettingen,9,St,004,2021-07-02T00:00:00.000,0,6118,2,2,Portola,otc alterations permit,8,2021-07-02T00:00:00.000,94134,1620096196485,wood frame (5),12800,644,1 family dwelling,1,"{coordinates:[-122.40563459118421,37.72382325203351],type:Point}",issued,wood frame (5)
residential hotel,5,2021-07-02T00:00:00.000,84,5,202107023739,unit 17a: revise permit: 202101223188: 202101223191: 202101223190: remove kitchen from permit scope.,1,Hyde,3,St,025,2021-07-02T00:00:00.000,0,0217,8,8,Russian Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94109,162018162760,wood frame (5),1,1369,residential hotel,84,"{coordinates:[-122.41833983781137,37.793373995615354],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023668,"remodel kitchen with new stove location. replace 1 window kn kind, replace 1 door to exterior stairwell in kind. remodel bath & toilet room in kind. no rough opening changes. no new wall & no existing wall relocation. u factor for new windows not to exceed. all work kn residential unit. lighting in",48000,Geary,1,Bl,032D,2021-07-02T00:00:00.000,0,1532,3,3,Inner Richmond,otc alterations permit,8,2021-07-02T00:00:00.000,94118,1620099349608,wood frame (5),48000,4835,2 family dwelling,2,"{coordinates:[-122.47130447376642,37.7803926861363],type:Point}",issued,wood frame (5)
food/beverage hndlng,5,2021-07-02T00:00:00.000,1,5,202107023710,"remodel bathroom for accessibility comliance. remodel kitchen area, reconfigure lighting, interior flushes. no changes to exterior, no work in basement, abe program under sep. permit.",0,23rd,9,St,048,2021-07-02T00:00:00.000,2,3643,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620148362074,wood frame (5),75000,3349,food/beverage hndlng,1,"{coordinates:[-122.41947583267446,37.7536510725685],type:Point}",filed,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,5,5,202107023670,to obtain final inspection for pa 201711073343. all work completed. soft story upgrade,1,Page,5,St,016,2021-07-02T00:00:00.000,0,1222,3,3,Haight Ashbury,otc alterations permit,8,2021-07-02T00:00:00.000,94117,162010192889,wood frame (5),50000,1474,apartments,5,"{coordinates:[-122.44506422555278,37.77143731396474],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,3,5,202107023694,expand powder room into closet to create a full bathroom.,12000,Baker,2,St,009A,2021-07-02T00:00:00.000,2,0934,3,3,Marina,otc alterations permit,8,2021-07-02T00:00:00.000,94123,162012884619,wood frame (5),12000,3036,apartments,3,"{coordinates:[-122.44582069856116,37.79918886070084],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023737,revision  to app#202012020076. add plywood to cripple wall and replace hand dug with drilled peirce.,0,Willard,5,St,035,2021-07-02T00:00:00.000,2,2631,2,2,Inner Sunset,otc alterations permit,8,2021-07-02T00:00:00.000,94117,1620179140349,wood frame (5),1,1490,1 family dwelling,1,"{coordinates:[-122.4537522018158,37.762770923604236],type:Point}",filed,wood frame (5)
apartments,3,2021-07-02T00:00:00.000,37,3,202107023696,#205:  1)revision to app#202103086080 (kitchen & bath only- no plans) 2) convert extg kitchen to study. 3)relocate kitch. 4) install washer and dryer.5)rehabilitate exg bathroom,0,Franklin,2,St,002A,2021-07-02T00:00:00.000,2,0672,6,6,Western Addition,otc alterations permit,8,2021-07-02T00:00:00.000,94109,162013078426,constr type 3,25000,1405,apartments,37,"{coordinates:[-122.42368710560197,37.787482200161016],type:Point}",filed,constr type 3
2 family dwelling,,2021-07-02T00:00:00.000,,,202107023717,re-roofing: remove and replace roofing material / existing roofing material (in-kind),11000,Fanning,7,Wy,010,2021-07-02T00:00:00.000,0,2134B,,,Inner Sunset,otc alterations permit,8,2021-07-02T00:00:00.000,94116,1620156127108,,11000,30,2 family dwelling,,"{coordinates:[-122.47117660061977,37.7493348372184],type:Point}",issued,
apartments,5,2021-07-02T00:00:00.000,3,5,202107023735,install 99 new sprinklers throughout per nfpa#13 and  underground nfpa#24,0,Taraval,4,St,036,2021-07-02T00:00:00.000,2,2402,3,4,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94116,1620177514101,wood frame (5),39500,1343,2 family dwelling,2,"{coordinates:[-122.48075357215546,37.74257985919792],type:Point}",filed,wood frame (5)
retail sales,5,2021-07-02T00:00:00.000,0,5,202107023714,1)install new protocol unit in the  ground floor machine room. 2) install new refrigeration condensor on roof.,0,Folsom,9,St,083,2021-07-02T00:00:00.000,2,3549,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94103,1620152157950,wood frame (5),120000,1800,retail sales,0,"{coordinates:[-122.41611498492281,37.76788830142141],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023745,repair stucco cracks on the s/s side in-kind. no change to facade .,5000,Keith,10,St,019,2021-07-02T00:00:00.000,0,4730,2,2,Bayview Hunters Point,otc alterations permit,8,2021-07-02T00:00:00.000,94124,1620187174521,wood frame (5),5000,1315,1 family dwelling,1,"{coordinates:[-122.38618170399458,37.73266732444951],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,3,5,202107023734,replace and install a wood sectional garage door & install an opener in existing common area garage. no change in existing garage opening.,6000,Larkin,3,St,083,2021-07-02T00:00:00.000,0,0572,3,3,Russian Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94109,1620176445674,wood frame (5),6000,2061,apartments,3,"{coordinates:[-122.42050230591612,37.79695604850193],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023683,to comply with physical inspection report cc-8511 : replace 7 street facing windows. windows at front ot be hung wood and with ogee lugs,10000,04th,5,Av,018,2021-07-02T00:00:00.000,0,1747,3,3,Inner Sunset,otc alterations permit,8,2021-07-02T00:00:00.000,94122,1620116112660,wood frame (5),10000,1220,2 family dwelling,2,"{coordinates:[-122.46072767078657,37.76569229826095],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,4,5,202107023671,reroofing.,38000,San Carlos,9,St,115,2021-07-02T00:00:00.000,0,3596,3,3,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620103470199,wood frame (5),38000,290,apartments,4,"{coordinates:[-122.41999062507965,37.75878287751877],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,4,5,202107023707,reroofing.,15000,Mission,8,St,007,2021-07-02T00:00:00.000,0,6720,3,3,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620143252556,wood frame (5),15000,3938,apartments,4,"{coordinates:[-122.42577753129814,37.734822708210146],type:Point}",issued,wood frame (5)
apartments,3,2021-07-02T00:00:00.000,60,3,202107023700,"unit 502 - convert existing kitchen to bedroom; relocate kitchen, rehabilitate (e) bathroom an dinstall washer & dryer",0,Buchanan,5,St,013,2021-07-02T00:00:00.000,2,0851,7,7,Hayes Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94102,162013683121,constr type 3,40000,300,apartments,60,"{coordinates:[-122.42696718762267,37.772835794327335],type:Point}",filed,constr type 3
office,1,2021-07-02T00:00:00.000,,1,202107013605,"7/f:  fire sprinklers, relocate (1) and add (1) pendant sprinkler, add (1) upright",1575,Fremont,6,St,012,2021-07-01T00:00:00.000,2,3738,9,9,Financial District/South Beach,otc alterations permit,8,2021-07-01T00:00:00.000,94105,1620029165668,constr type 1,1575,215,office,,"{coordinates:[-122.39431041757959,37.78909443833636],type:Point}",issued,constr type 1
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202107013552,2.5 bath remodel. non structural work.,30000,42nd,1,Av,019B,2021-07-01T00:00:00.000,0,1584,2,2,Outer Richmond,otc alterations permit,8,2021-07-01T00:00:00.000,94121,1619969105531,wood frame (5),30000,624,1 family dwelling,1,"{coordinates:[-122.50243788673335,37.77682455997133],type:Point}",issued,wood frame (5)
office,1,2021-07-01T00:00:00.000,,1,202107013590,"4/f: t.i. to (e) space: mech & lighting upgrades, restroom finish upgrades addition, single occupant toilet room.",0,Howard,6,St,079,2021-07-01T00:00:00.000,2,3733,6,6,South of Market,otc alterations permit,8,2021-07-01T00:00:00.000,94103,1620013384462,constr type 1,150000,875,office,,"{coordinates:[-122.40414100170165,37.78166110105377],type:Point}",filed,constr type 1
apartments,5,2021-07-01T00:00:00.000,3,5,202107013593,replace the exterior windows and repair main stairs. less then 50%. windows are not street facing. u-factor 0.30 max,12000,Oak,5,St,041,2021-07-01T00:00:00.000,0,1217,3,3,Haight Ashbury,otc alterations permit,8,2021-07-01T00:00:00.000,94117,1620017277065,wood frame (5),12000,1063,apartments,3,"{coordinates:[-122.43672453111957,37.77292891689471],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202107013554,"new kitchen, powder rm, office, stair on 2nd floor. new bedroom & closet on 3rd floor. raise plate hts & flatten back appro 14'-5 portion of (e) rear gable roof. new flat roof & parapet to be no higher than (e) roof ridge. not visible from street. new rear facing windows on raised back portion of",,Castro,8,St,026,2021-07-01T00:00:00.000,2,3624,3,3,Noe Valley,additions alterations or repairs,3,2021-07-01T00:00:00.000,94114,1619972162905,wood frame (5),60000,1013,1 family dwelling,1,"{coordinates:[-122.43394694668247,37.75324097997269],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-01T00:00:00.000,2,5,202107013568,reroofing.,8000,Pacific,2,Av,030,2021-07-01T00:00:00.000,0,0588,4,4,Pacific Heights,otc alterations permit,8,2021-07-01T00:00:00.000,94115,1619987447310,wood frame (5),8000,2351,2 family dwelling,2,"{coordinates:[-122.43390422046247,37.79318167564138],type:Point}",issued,wood frame (5)
apartments,5,2021-07-01T00:00:00.000,12,5,202107013639,"revision to 202010287686; replace (e) unit with new facu es-200x at same location. install 2 swift gateways for wireless lf sounders inside sleeping rooms. (e) wired smoke & pulls to be addressable. radio will be used to monitor system. garage, laundry & toilet to have wireless devices",23000,Carl,5,St,040,2021-07-01T00:00:00.000,2,1266,4,4,Inner Sunset,otc alterations permit,8,2021-07-01T00:00:00.000,94117,162007094509,wood frame (5),23000,200,apartments,12,"{coordinates:[-122.45303814954168,37.76556321506696],type:Point}",issued,wood frame (5)
,,2021-07-01T00:00:00.000,,,202107013600,construct 4-story single family,,Castenada,7,Av,033,2021-07-01T00:00:00.000,2,2819,,,West of Twin Peaks,new construction wood frame,2,2021-07-01T00:00:00.000,94116,1620022144954,,1762050,1,,,"{coordinates:[-122.46186938503561,37.75107740840013],type:Point}",filed,
